,cascade_depth,cascade_expansion_degree_average,cascade_expansion_degree_max,cascade_expansion_degree_median,cascade_expansion_degree_min,cascade_size,cascade_speed,cascade_speed_average,cascade_speed_first_level,cascade_speed_max,cascade_speed_median,cascade_speed_min,cascade_speed_peak_level_first,cascade_speed_peak_level_last,cascade_speed_slot1_average,cascade_speed_slot2_average,cascade_speed_slot3_average,cascade_speed_slot4_average,cascade_speed_weekdays_average,cascade_speed_weekends_average,cascade_unique_size,level_number_to_peak,level_size_average,level_size_max,level_size_median,level_size_min
5463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5464,0.0273972602739726,0.1,0.03409090909090909,0.1,0.05,0.011516314779270634,0.006717786950888452,0.9886824914087021,0.002454249842716309,0.9886482309917295,0.9886794197679578,0.9886911566207869,0.0005274688908946137,0.003513303651746228,0.0,0.0019200937512194036,0.0,0.0,0.0,0.0,0.031914893617021274,0.42568542568542567,0.05312084993359894,0.0196078431372549,0.10526315789473684,
5465,0.1643835616438356,0.06458333333333334,0.056818181818181816,0.05,0.05,0.05950095969289827,0.0011672885880264028,0.9886689283550582,0.0004788997694544542,0.9885943911522105,0.988674338010141,0.9886914764065022,6.523903176496002e-05,0.0011262136535072017,0.0,0.00017896754899325427,8.240765650146337e-05,0.0,0.0,0.0,0.0425531914893617,0.1205808080808081,0.05822862396567576,0.049019607843137254,0.0,
5466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5467,0.1095890410958904,0.07083333333333333,0.03409090909090909,0.05,0.05,0.03262955854126679,0.0013043994985769158,0.9886662093109613,0.00014570736432047854,0.9885961400057168,0.9886701714354683,0.9886918403440915,0.00018364341538885172,0.000280027053275044,0.0,0.00015972883338843217,0.0003573226148325295,0.0,0.0,0.0,0.0425531914893617,0.3299663299663299,0.0398406374501992,0.0196078431372549,0.05263157894736842,
5468,0.0547945205479452,0.11000000000000001,0.07954545454545454,0.05,0.05,0.02111324376199616,0.0008012277158339138,0.9886666678461175,7.909632347528802e-05,0.988592989798986,0.9886700743036942,0.988693559113469,1.6738510778812036e-05,0.00020950578655119656,0.0,0.0002967506517207119,2.9017992046874963e-05,0.0,0.0,0.0,0.047872340425531915,0.16245791245791247,0.05577689243027888,0.058823529411764705,0.0,
5469,0.0547945205479452,0.075,0.022727272727272728,0.075,0.05,0.011516314779270634,0.0013563423187287868,0.98867047047123,0.00039314920194004826,0.9885992466960783,0.9886744881228827,0.9886978714900685,0.0004406893165700349,0.00045907423824512357,0.0,0.0,0.00024412329065676223,0.0,0.0,0.0,0.02127659574468085,0.5692640692640693,0.015936254980079678,0.00980392156862745,0.0,
5470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5471,0.0410958904109589,0.075,0.022727272727272728,0.075,0.05,0.011516314779270634,0.00010129497595701569,0.9886658592600511,2.3324154363918412e-05,0.9885873522218156,0.9886712884508703,0.988694663541058,2.442176162810281e-05,0.0001072911100740247,0.0,0.0,4.456456993723676e-05,0.0,0.0,0.0,0.02127659574468085,0.42568542568542567,0.0298804780876494,0.0196078431372549,0.02631578947368421,
5472,0.1506849315068493,0.06785714285714287,0.056818181818181816,0.05,0.05,0.036468330134357005,0.004679776075927191,0.9886726060971432,0.000329968183795434,0.9886323431022478,0.9886759469916714,0.9886952665295075,2.997839840303631e-05,0.0009493616830654909,0.0,0.0,0.0003736049325921648,0.0,0.0,0.0,0.03723404255319149,0.09545454545454547,0.02656042496679947,0.0392156862745098,0.0,
